"Timestamp","Type","Value"
"2026-03-03 00:00:00","Body Battery","Min : 25 / Max : 68 / Avg : 42"
"2026-03-03 00:00:00","Stress Level","Max : 81 / Avg : 30"
"2026-03-03 00:00:00","Pulse","55"
"2026-03-04 00:00:00","Sleep Hours","8.30"
"2026-03-04 00:00:00","Time In Deep Sleep","1.53333333333333"
"2026-03-04 00:00:00","Time In Light Sleep","4.88333333333333"
"2026-03-04 00:00:00","Time In REM Sleep","1.88333333333333"
"2026-03-04 00:00:00","Time Awake","0.0666666666666667"
"2026-03-04 00:00:00","HRV","81"
"2026-03-04 00:00:00","Body Battery","Min : 27 / Max : 100 / Avg : 64"
"2026-03-04 00:00:00","Stress Level","Max : 96 / Avg : 22"
"2026-03-04 00:00:00","Pulse","48"
"2026-03-05 00:00:00","HRV","88"
"2026-03-05 00:00:00","Sleep Hours","6.65"
"2026-03-05 00:00:00","Time In Deep Sleep","1.01666666666667"
"2026-03-05 00:00:00","Time In Light Sleep","4.2"
"2026-03-05 00:00:00","Time In REM Sleep","1.43333333333333"
"2026-03-05 00:00:00","Time Awake","0.0666666666666667"
"2026-03-05 00:00:00","Body Battery","Min : 37 / Max : 99 / Avg : 67"
"2026-03-05 00:00:00","Stress Level","Max : 83 / Avg : 22"
"2026-03-05 00:00:00","Pulse","47"
"2026-03-06 00:00:00","Body Battery","Min : 24 / Max : 33 / Avg : 28"
"2026-03-06 00:00:00","Stress Level","Max : 99 / Avg : 77"
"2026-03-06 00:00:00","Pulse","56"
"2026-03-07 00:00:00","Body Battery","Min : 25 / Max : 36 / Avg : 30"
"2026-03-07 00:00:00","Stress Level","Max : 90 / Avg : 57"
"2026-03-07 00:00:00","Pulse","55"
"2026-03-08 00:00:00","Body Battery","Min : 5 / Max : 54 / Avg : 22"
"2026-03-08 00:00:00","Stress Level","Max : 96 / Avg : 71"
"2026-03-08 00:00:00","Pulse","55"
"2026-03-10 00:00:00","Body Battery","Min : 15 / Max : 63 / Avg : 39"
"2026-03-10 00:00:00","Stress Level","Max : 99 / Avg : 37"
"2026-03-10 00:00:00","Pulse","60"
"2026-03-11 00:00:00","Body Battery","Min : 24 / Max : 54 / Avg : 41"
"2026-03-11 00:00:00","Stress Level","Max : 71 / Avg : 25"
"2026-03-11 00:00:00","Pulse","59"
"2026-03-12 00:00:00","HRV","73"
"2026-03-12 00:00:00","Sleep Hours","6.85"
"2026-03-12 00:00:00","Time In Deep Sleep","1.41666666666667"
"2026-03-12 00:00:00","Time In Light Sleep","4.25"
"2026-03-12 00:00:00","Time In REM Sleep","1.18333333333333"
"2026-03-12 00:00:00","Time Awake","0.2"
"2026-03-12 00:00:00","Body Battery","Min : 24 / Max : 99 / Avg : 63"
"2026-03-12 00:00:00","Stress Level","Max : 97 / Avg : 23"
"2026-03-12 00:00:00","Pulse","46"
"2026-03-13 00:00:00","HRV","76"
"2026-03-13 00:00:00","Sleep Hours","8.62"
"2026-03-13 00:00:00","Time In Deep Sleep","1.18333333333333"
"2026-03-13 00:00:00","Time In Light Sleep","5.71611111111111"
"2026-03-13 00:00:00","Time In REM Sleep","1.71666666666667"
