"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Treadmill Running","Run","","","","2026-02-03","","5050","243","305","426.888","","0.487425565719604","2.87800002098083","","171","","171","179","","","1.12603084456449","60.82","0","0","1","0","0","0","27","","","","1","0","0","0","26","2","","","","","4","5"
"Indoor Cycling","Bike","","","","2026-02-06","","0","","","","","0.22431443631649","0","","","","142","158","","","0.885674104587141","18.79","0","1","2","6","2","1","0","","","","","","","","","","","","","","1","5"
"Trail Running","Run","","","","2026-02-07","","10311.3603515625","190","358","909.296","","1.33254110813141","2.1489999294281","","152","","167","184","","","0.975592480172743","126.28","0","0","0","0","2","4","72","","","","13","17","15","13","11","12","","","","","10","7"
"Trail Running","Run","","","","2026-02-15","","6515.5","222","347","558.748","","0.698723614215851","2.58999991416931","","169","","162","181","","","1.08034002160466","80.8","0","0","1","1","2","3","34","","","","3","4","6","9","10","10","","","","","5","5"
"Running","Run","","","","2026-02-17","","6793.1298828125","244","295","549.211","","0.62437915802002","3.0220000743866","","176","","165","180","","","1.11608079807193","76.99","0","1","0","1","2","1","33","","","","0","0","0","7","28","2","","","","","3","3"
"Treadmill Running","Run","","","","2026-02-19","","2910.17993164063","218","277","230.27","","0.292688339948654","2.76200008392334","","167","","163","177","","","1.03347967958586","30.36","1","0","0","0","0","1","15","","","","1","0","0","11","5","0","","","","","1","5"
"Trail Running","Run","","","","2026-02-21","","5183.7998046875","70","253","385.887","","1.52433919906616","0.944999992847443","","83","","106","147","","","0.436973209352146","28.91","63","23","5","1","0","0","0","","","","70","20","1","0","0","0","","","","","1","5"
"Trail Running","Run","","","","2026-02-22","","16767.439453125","80","191","1240.716","","4.31698322296143","1.0789999961853","","94","","106","147","","","0.446009668822411","85.6","202","49","7","1","0","0","0","","","","217","41","1","0","0","0","","","","","1","5"
"Running","Run","","","","2026-02-24","","7520.830078125","237","385","596.67","","0.698685824871063","2.99000000953674","","174","","163","187","","","1.12504645297902","87.58","1","0","1","2","1","2","35","","","","1","0","2","18","14","7","","","","","4","3"
"Hiking","Walk","","","","2026-03-01","","12879.1103515625","","","","","4.07999277114868","0.876999974250793","","77","","105","144","","","0.363778179233727","61.95","202","29","10","3","0","0","0","","","","","","","","","","","","","","",""
